ticker,name,asset_class
AAPL,Apple Inc.,Equity
MSFT,Microsoft Corp.,Equity
VTI,Vanguard Total Stock Market ETF,Equity ETF
TLT,iShares 20+ Year Treasury Bond ETF,Bond ETF
SPY,SPDR S&P 500 ETF Trust,Benchmark
